,embed_dim,num_heads,ff_dim,num_layers,batch_size,test_partition
0,16.0,1.0,16.0,1.0,32.0,0.0
1,16.0,1.0,16.0,1.0,32.0,1.0
2,16.0,1.0,16.0,1.0,32.0,2.0
3,16.0,1.0,16.0,1.0,32.0,3.0
4,16.0,1.0,16.0,1.0,32.0,4.0
5,16.0,1.0,16.0,1.0,64.0,0.0
6,16.0,1.0,16.0,1.0,64.0,1.0
7,16.0,1.0,16.0,1.0,64.0,2.0
8,16.0,1.0,16.0,1.0,64.0,3.0
9,16.0,1.0,16.0,1.0,64.0,4.0
10,16.0,1.0,16.0,2.0,32.0,0.0
11,16.0,1.0,16.0,2.0,32.0,1.0
12,16.0,1.0,16.0,2.0,32.0,2.0
13,16.0,1.0,16.0,2.0,32.0,3.0
14,16.0,1.0,16.0,2.0,32.0,4.0
15,16.0,1.0,16.0,2.0,64.0,0.0
16,16.0,1.0,16.0,2.0,64.0,1.0
17,16.0,1.0,16.0,2.0,64.0,2.0
18,16.0,1.0,16.0,2.0,64.0,3.0
19,16.0,1.0,16.0,2.0,64.0,4.0
20,16.0,1.0,16.0,4.0,32.0,0.0
21,16.0,1.0,16.0,4.0,32.0,1.0
22,16.0,1.0,16.0,4.0,32.0,2.0
23,16.0,1.0,16.0,4.0,32.0,3.0
24,16.0,1.0,16.0,4.0,32.0,4.0
25,16.0,1.0,16.0,4.0,64.0,0.0
26,16.0,1.0,16.0,4.0,64.0,1.0
27,16.0,1.0,16.0,4.0,64.0,2.0
28,16.0,1.0,16.0,4.0,64.0,3.0
29,16.0,1.0,16.0,4.0,64.0,4.0
30,16.0,1.0,32.0,1.0,32.0,0.0
31,16.0,1.0,32.0,1.0,32.0,1.0
32,16.0,1.0,32.0,1.0,32.0,2.0
33,16.0,1.0,32.0,1.0,32.0,3.0
34,16.0,1.0,32.0,1.0,32.0,4.0
35,16.0,1.0,32.0,1.0,64.0,0.0
36,16.0,1.0,32.0,1.0,64.0,1.0
37,16.0,1.0,32.0,1.0,64.0,2.0
38,16.0,1.0,32.0,1.0,64.0,3.0
39,16.0,1.0,32.0,1.0,64.0,4.0
40,16.0,1.0,32.0,2.0,32.0,0.0
41,16.0,1.0,32.0,2.0,32.0,1.0
42,16.0,1.0,32.0,2.0,32.0,2.0
43,16.0,1.0,32.0,2.0,32.0,3.0
44,16.0,1.0,32.0,2.0,32.0,4.0
45,16.0,1.0,32.0,2.0,64.0,0.0
46,16.0,1.0,32.0,2.0,64.0,1.0
47,16.0,1.0,32.0,2.0,64.0,2.0
48,16.0,1.0,32.0,2.0,64.0,3.0
49,16.0,1.0,32.0,2.0,64.0,4.0
50,16.0,1.0,32.0,4.0,32.0,0.0
51,16.0,1.0,32.0,4.0,32.0,1.0
52,16.0,1.0,32.0,4.0,32.0,2.0
53,16.0,1.0,32.0,4.0,32.0,3.0
54,16.0,1.0,32.0,4.0,32.0,4.0
55,16.0,1.0,32.0,4.0,64.0,0.0
56,16.0,1.0,32.0,4.0,64.0,1.0
57,16.0,1.0,32.0,4.0,64.0,2.0
58,16.0,1.0,32.0,4.0,64.0,3.0
59,16.0,1.0,32.0,4.0,64.0,4.0
60,16.0,2.0,16.0,1.0,32.0,0.0
61,16.0,2.0,16.0,1.0,32.0,1.0
62,16.0,2.0,16.0,1.0,32.0,2.0
63,16.0,2.0,16.0,1.0,32.0,3.0
64,16.0,2.0,16.0,1.0,32.0,4.0
65,16.0,2.0,16.0,1.0,64.0,0.0
66,16.0,2.0,16.0,1.0,64.0,1.0
67,16.0,2.0,16.0,1.0,64.0,2.0
68,16.0,2.0,16.0,1.0,64.0,3.0
69,16.0,2.0,16.0,1.0,64.0,4.0
70,16.0,2.0,16.0,2.0,32.0,0.0
71,16.0,2.0,16.0,2.0,32.0,1.0
72,16.0,2.0,16.0,2.0,32.0,2.0
73,16.0,2.0,16.0,2.0,32.0,3.0
74,16.0,2.0,16.0,2.0,32.0,4.0
75,16.0,2.0,16.0,2.0,64.0,0.0
76,16.0,2.0,16.0,2.0,64.0,1.0
77,16.0,2.0,16.0,2.0,64.0,2.0
78,16.0,2.0,16.0,2.0,64.0,3.0
79,16.0,2.0,16.0,2.0,64.0,4.0
80,16.0,2.0,16.0,4.0,32.0,0.0
81,16.0,2.0,16.0,4.0,32.0,1.0
82,16.0,2.0,16.0,4.0,32.0,2.0
83,16.0,2.0,16.0,4.0,32.0,3.0
84,16.0,2.0,16.0,4.0,32.0,4.0
85,16.0,2.0,16.0,4.0,64.0,0.0
86,16.0,2.0,16.0,4.0,64.0,1.0
87,16.0,2.0,16.0,4.0,64.0,2.0
88,16.0,2.0,16.0,4.0,64.0,3.0
89,16.0,2.0,16.0,4.0,64.0,4.0
90,16.0,2.0,32.0,1.0,32.0,0.0
91,16.0,2.0,32.0,1.0,32.0,1.0
92,16.0,2.0,32.0,1.0,32.0,2.0
93,16.0,2.0,32.0,1.0,32.0,3.0
94,16.0,2.0,32.0,1.0,32.0,4.0
95,16.0,2.0,32.0,1.0,64.0,0.0
96,16.0,2.0,32.0,1.0,64.0,1.0
97,16.0,2.0,32.0,1.0,64.0,2.0
98,16.0,2.0,32.0,1.0,64.0,3.0
99,16.0,2.0,32.0,1.0,64.0,4.0
100,16.0,2.0,32.0,2.0,32.0,0.0
101,16.0,2.0,32.0,2.0,32.0,1.0
102,16.0,2.0,32.0,2.0,32.0,2.0
103,16.0,2.0,32.0,2.0,32.0,3.0
104,16.0,2.0,32.0,2.0,32.0,4.0
105,16.0,2.0,32.0,2.0,64.0,0.0
106,16.0,2.0,32.0,2.0,64.0,1.0
107,16.0,2.0,32.0,2.0,64.0,2.0
108,16.0,2.0,32.0,2.0,64.0,3.0
109,16.0,2.0,32.0,2.0,64.0,4.0
